"","x","var","prob","mod","class","cat"
"256",0.0945945945945946,"x1",1,"sig","Pareto Distance","paret"
"257",0.0945945945945946,"x1",0.756,"rad","Utopia Distance","paret"
"258",0.0945945945945946,"x1",0.404,"lin","Utopia Distance","paret"
"259",0.0945945945945946,"x1",0,"pol","Utopia Distance","paret"
"260",0.0945945945945946,"x1",0.000666666666666667,"sig","Utopia Distance","paret"
"261",0.0945945945945946,"x1",0.462666666666667,"rad","Threshold Cutoff","paret"
"262",0.0945945945945946,"x1",0.594666666666667,"lin","Threshold Cutoff","paret"
"263",0.0945945945945946,"x1",1,"pol","Threshold Cutoff","paret"
"264",0.0945945945945946,"x1",1,"sig","Threshold Cutoff","paret"
"265",0.0945945945945946,"x2",0.646,"rad","Pareto Distance","paret"
"266",0.0945945945945946,"x2",0.773333333333333,"lin","Pareto Distance","paret"
"267",0.0945945945945946,"x2",1,"pol","Pareto Distance","paret"
"268",0.0945945945945946,"x2",1,"sig","Pareto Distance","paret"
"269",0.0945945945945946,"x2",0.304666666666667,"rad","Utopia Distance","paret"
"270",0.0945945945945946,"x2",0.212666666666667,"lin","Utopia Distance","paret"
"271",0.0945945945945946,"x2",0,"pol","Utopia Distance","paret"
"272",0.0945945945945946,"x2",0.002,"sig","Utopia Distance","paret"
"273",0.0945945945945946,"x2",0.644666666666667,"rad","Threshold Cutoff","paret"
"274",0.0945945945945946,"x2",0.810666666666667,"lin","Threshold Cutoff","paret"
"275",0.0945945945945946,"x2",1,"pol","Threshold Cutoff","paret"
"276",0.0945945945945946,"x2",1,"sig","Threshold Cutoff","paret"
"277",0.0945945945945946,"x3",0.530666666666667,"rad","Pareto Distance","paret"
"278",0.0945945945945946,"x3",0.629333333333333,"lin","Pareto Distance","paret"
"279",0.0945945945945946,"x3",1,"pol","Pareto Distance","paret"
"280",0.0945945945945946,"x3",1,"sig","Pareto Distance","paret"
"281",0.0945945945945946,"x3",0,"rad","Utopia Distance","paret"
"282",0.0945945945945946,"x3",0,"lin","Utopia Distance","paret"
"283",0.0945945945945946,"x3",0,"pol","Utopia Distance","paret"
"284",0.0945945945945946,"x3",0,"sig","Utopia Distance","paret"
"285",0.0945945945945946,"x3",0.511333333333333,"rad","Threshold Cutoff","paret"
"286",0.0945945945945946,"x3",0.567333333333333,"lin","Threshold Cutoff","paret"
"287",0.0945945945945946,"x3",1,"pol","Threshold Cutoff","paret"
"288",0.0945945945945946,"x3",1,"sig","Threshold Cutoff","paret"
"289",0.108108108108108,"x1",0.501333333333333,"rad","Pareto Distance","paret"
"290",0.108108108108108,"x1",0.710666666666667,"lin","Pareto Distance","paret"
"291",0.108108108108108,"x1",1,"pol","Pareto Distance","paret"
"292",0.108108108108108,"x1",1,"sig","Pareto Distance","paret"
"293",0.108108108108108,"x1",0.768666666666667,"rad","Utopia Distance","paret"
"294",0.108108108108108,"x1",0.417333333333333,"lin","Utopia Distance","paret"
"295",0.108108108108108,"x1",0,"pol","Utopia Distance","paret"
"296",0.108108108108108,"x1",0,"sig","Utopia Distance","paret"
"297",0.108108108108108,"x1",0.503333333333333,"rad","Threshold Cutoff","paret"
"298",0.108108108108108,"x1",0.614,"lin","Threshold Cutoff","paret"
"299",0.108108108108108,"x1",1,"pol","Threshold Cutoff","paret"
"300",0.108108108108108,"x1",1,"sig","Threshold Cutoff","paret"
"301",0.108108108108108,"x2",0.657333333333333,"rad","Pareto Distance","paret"
"302",0.108108108108108,"x2",0.785333333333333,"lin","Pareto Distance","paret"
"303",0.108108108108108,"x2",1,"pol","Pareto Distance","paret"
"304",0.108108108108108,"x2",1,"sig","Pareto Distance","paret"
"305",0.108108108108108,"x2",0.314666666666667,"rad","Utopia Distance","paret"
"306",0.108108108108108,"x2",0.218666666666667,"lin","Utopia Distance","paret"
"307",0.108108108108108,"x2",0,"pol","Utopia Distance","paret"
"308",0.108108108108108,"x2",0.002,"sig","Utopia Distance","paret"
"309",0.108108108108108,"x2",0.654,"rad","Threshold Cutoff","paret"
"310",0.108108108108108,"x2",0.814666666666667,"lin","Threshold Cutoff","paret"
"311",0.108108108108108,"x2",1,"pol","Threshold Cutoff","paret"
"312",0.108108108108108,"x2",1,"sig","Threshold Cutoff","paret"
"313",0.108108108108108,"x3",0.536666666666667,"rad","Pareto Distance","paret"
"314",0.108108108108108,"x3",0.622,"lin","Pareto Distance","paret"
"315",0.108108108108108,"x3",1,"pol","Pareto Distance","paret"
"316",0.108108108108108,"x3",1,"sig","Pareto Distance","paret"
"317",0.108108108108108,"x3",0,"rad","Utopia Distance","paret"
"318",0.108108108108108,"x3",0,"lin","Utopia Distance","paret"
"319",0.108108108108108,"x3",0,"pol","Utopia Distance","paret"
"320",0.108108108108108,"x3",0,"sig","Utopia Distance","paret"
"321",0.108108108108108,"x3",0.510666666666667,"rad","Threshold Cutoff","paret"
"322",0.108108108108108,"x3",0.551333333333333,"lin","Threshold Cutoff","paret"
"323",0.108108108108108,"x3",1,"pol","Threshold Cutoff","paret"
"324",0.108108108108108,"x3",1,"sig","Threshold Cutoff","paret"
"325",0.121621621621622,"x1",0.536666666666667,"rad","Pareto Distance","paret"
"326",0.121621621621622,"x1",0.718,"lin","Pareto Distance","paret"
"327",0.121621621621622,"x1",1,"pol","Pareto Distance","paret"
"328",0.121621621621622,"x1",1,"sig","Pareto Distance","paret"
"329",0.121621621621622,"x1",0.770666666666667,"rad","Utopia Distance","paret"
"330",0.121621621621622,"x1",0.396,"lin","Utopia Distance","paret"
"331",0.121621621621622,"x1",0,"pol","Utopia Distance","paret"
"332",0.121621621621622,"x1",0,"sig","Utopia Distance","paret"
"333",0.121621621621622,"x1",0.536,"rad","Threshold Cutoff","paret"
"334",0.121621621621622,"x1",0.614,"lin","Threshold Cutoff","paret"
"335",0.121621621621622,"x1",1,"pol","Threshold Cutoff","paret"
"336",0.121621621621622,"x1",1,"sig","Threshold Cutoff","paret"
"337",0.121621621621622,"x2",0.684,"rad","Pareto Distance","paret"
"338",0.121621621621622,"x2",0.793333333333333,"lin","Pareto Distance","paret"
"339",0.121621621621622,"x2",1,"pol","Pareto Distance","paret"
"340",0.121621621621622,"x2",1,"sig","Pareto Distance","paret"
"341",0.121621621621622,"x2",0.309333333333333,"rad","Utopia Distance","paret"
"342",0.121621621621622,"x2",0.208666666666667,"lin","Utopia Distance","paret"
"343",0.121621621621622,"x2",0,"pol","Utopia Distance","paret"
"344",0.121621621621622,"x2",0.000666666666666667,"sig","Utopia Distance","paret"
"345",0.121621621621622,"x2",0.676666666666667,"rad","Threshold Cutoff","paret"
"346",0.121621621621622,"x2",0.818666666666667,"lin","Threshold Cutoff","paret"
"347",0.121621621621622,"x2",1,"pol","Threshold Cutoff","paret"
"348",0.121621621621622,"x2",1,"sig","Threshold Cutoff","paret"
"349",0.121621621621622,"x3",0.572666666666667,"rad","Pareto Distance","paret"
"350",0.121621621621622,"x3",0.654666666666667,"lin","Pareto Distance","paret"
"351",0.121621621621622,"x3",1,"pol","Pareto Distance","paret"
"352",0.121621621621622,"x3",1,"sig","Pareto Distance","paret"
"353",0.121621621621622,"x3",0,"rad","Utopia Distance","paret"
"354",0.121621621621622,"x3",0,"lin","Utopia Distance","paret"
"355",0.121621621621622,"x3",0,"pol","Utopia Distance","paret"
"356",0.121621621621622,"x3",0,"sig","Utopia Distance","paret"
"357",0.121621621621622,"x3",0.55,"rad","Threshold Cutoff","paret"
"358",0.121621621621622,"x3",0.586666666666667,"lin","Threshold Cutoff","paret"
"359",0.121621621621622,"x3",1,"pol","Threshold Cutoff","paret"
"360",0.121621621621622,"x3",1,"sig","Threshold Cutoff","paret"
"361",0.135135135135135,"x1",0.557333333333333,"rad","Pareto Distance","paret"
"362",0.135135135135135,"x1",0.734,"lin","Pareto Distance","paret"
"363",0.135135135135135,"x1",1,"pol","Pareto Distance","paret"
"364",0.135135135135135,"x1",1,"sig","Pareto Distance","paret"
"365",0.135135135135135,"x1",0.769333333333333,"rad","Utopia Distance","paret"
"366",0.135135135135135,"x1",0.397333333333333,"lin","Utopia Distance","paret"
"367",0.135135135135135,"x1",0,"pol","Utopia Distance","paret"
"368",0.135135135135135,"x1",0,"sig","Utopia Distance","paret"
"369",0.135135135135135,"x1",0.553333333333333,"rad","Threshold Cutoff","paret"
"370",0.135135135135135,"x1",0.632,"lin","Threshold Cutoff","paret"
"371",0.135135135135135,"x1",1,"pol","Threshold Cutoff","paret"
"372",0.135135135135135,"x1",1,"sig","Threshold Cutoff","paret"
"373",0.135135135135135,"x2",0.695333333333333,"rad","Pareto Distance","paret"
"374",0.135135135135135,"x2",0.798666666666667,"lin","Pareto Distance","paret"
"375",0.135135135135135,"x2",1,"pol","Pareto Distance","paret"
"376",0.135135135135135,"x2",1,"sig","Pareto Distance","paret"
"377",0.135135135135135,"x2",0.345333333333333,"rad","Utopia Distance","paret"
"378",0.135135135135135,"x2",0.220666666666667,"lin","Utopia Distance","paret"
"379",0.135135135135135,"x2",0,"pol","Utopia Distance","paret"
"380",0.135135135135135,"x2",0,"sig","Utopia Distance","paret"
"381",0.135135135135135,"x2",0.695333333333333,"rad","Threshold Cutoff","paret"
"382",0.135135135135135,"x2",0.817333333333333,"lin","Threshold Cutoff","paret"
"383",0.135135135135135,"x2",1,"pol","Threshold Cutoff","paret"
"384",0.135135135135135,"x2",1,"sig","Threshold Cutoff","paret"
"385",0.135135135135135,"x3",0.578666666666667,"rad","Pareto Distance","paret"
