"","x","prob","psd","var","cat"
"25%231",2.3469387755102,3.50291774867839e-08,2.00107125376566e-07,"x2","start"
"25%241",2.44897959183673,2.65470256010106e-19,1.39919067033319e-18,"x2","start"
"25%251",2.55102040816327,5.15223255009981e-19,2.25254283202685e-18,"x2","start"
"25%261",2.6530612244898,2.47394876491909e-18,1.01393314081316e-17,"x2","start"
"25%271",2.75510204081633,8.61458501692713e-11,2.43999331589024e-10,"x2","start"
"25%281",2.85714285714286,9.42853759069385e-06,1.88437871435959e-05,"x2","start"
"25%291",2.95918367346939,0.00160476291126311,0.00255830442323808,"x2","start"
"25%301",3.06122448979592,0.01203451498828,0.0179479344623606,"x2","start"
"25%311",3.16326530612245,0.030410523708759,0.0448407030828632,"x2","start"
"25%321",3.26530612244898,0.0614217284570835,0.0818950704752353,"x2","start"
"25%331",3.36734693877551,0.101303287707599,0.136320427713844,"x2","start"
"25%341",3.46938775510204,0.155730685495733,0.216029974135681,"x2","start"
"25%351",3.57142857142857,0.267469386070579,0.355687464588108,"x2","start"
"25%361",3.6734693877551,0.384543784500993,0.456588677498626,"x2","start"
"25%371",3.77551020408163,0.406898045216292,0.481315851901026,"x2","start"
"25%381",3.87755102040816,0.441325859253574,0.488956379600982,"x2","start"
"25%391",3.97959183673469,0.455880875100737,0.493683399953644,"x2","start"
"25%401",4.08163265306122,0.483640252754704,0.497339221453006,"x2","start"
"25%411",4.18367346938776,0.461386337831019,0.496662414618151,"x2","start"
"25%421",4.28571428571429,0.455661676351502,0.490410336493878,"x2","start"
"25%431",4.38775510204082,0.337017423031617,0.457437649942278,"x2","start"
"25%441",4.48979591836735,0.178265185445117,0.335222526137828,"x2","start"
"25%451",4.59183673469388,2.7362145613699e-08,1.07338714127092e-07,"x2","start"
"25%461",4.69387755102041,1.05494827212607e-37,5.2535990090885e-37,"x2","start"
"25%471",4.79591836734694,7.71394790043557e-92,4.86206109843132e-91,"x2","start"
"25%481",4.89795918367347,4.53722630696901e-202,0,"x2","start"
"25%491",5,0,0,"x2","start"
"25%52",0,0.161408014104934,0.324247608419661,"x1","adapt"
"25%112",0.102040816326531,0.247246000467105,0.406545028074593,"x1","adapt"
"25%212",0.204081632653061,0.272355191070802,0.423414476890853,"x1","adapt"
"25%312",0.306122448979592,0.307158755788082,0.444959341365671,"x1","adapt"
"25%412",0.408163265306122,0.346722259377336,0.458208406466964,"x1","adapt"
"25%53",0.510204081632653,0.344886321054737,0.459202233632534,"x1","adapt"
"25%62",0.612244897959184,0.38088750769876,0.468728426705272,"x1","adapt"
"25%72",0.714285714285714,0.394152798376559,0.474121159744905,"x1","adapt"
"25%82",0.816326530612245,0.419015153332736,0.477824517264544,"x1","adapt"
"25%92",0.918367346938776,0.417515514983937,0.479920592780071,"x1","adapt"
"25%102",1.02040816326531,0.43862780873484,0.480745202270648,"x1","adapt"
"25%113",1.12244897959184,0.45784005104581,0.482712725140938,"x1","adapt"
"25%122",1.22448979591837,0.450896221643574,0.47509189445602,"x1","adapt"
"25%132",1.3265306122449,0.363999213681207,0.462195350509421,"x1","adapt"
"25%142",1.42857142857143,0.344114045165958,0.451286774776748,"x1","adapt"
"25%152",1.53061224489796,0.315567576098653,0.444970115420408,"x1","adapt"
"25%162",1.63265306122449,0.29457590031011,0.438304093956356,"x1","adapt"
"25%172",1.73469387755102,0.263791912340767,0.429966925084573,"x1","adapt"
"25%182",1.83673469387755,0.244709882829278,0.423096654124274,"x1","adapt"
"25%192",1.93877551020408,0.226078680153051,0.413715167228402,"x1","adapt"
"25%202",2.04081632653061,0.193484876827976,0.390300768689927,"x1","adapt"
"25%213",2.14285714285714,0.165096105173645,0.365831541111368,"x1","adapt"
"25%222",2.24489795918367,0.113137456578157,0.308978901809878,"x1","adapt"
"25%232",2.3469387755102,0.024117424638023,0.124921604787407,"x1","adapt"
"25%242",2.44897959183673,7.0677703469123e-21,6.95964231614024e-20,"x1","adapt"
"25%252",2.55102040816327,6.35191274497279e-42,7.50290910508108e-41,"x1","adapt"
"25%262",2.6530612244898,4.6118908088024e-57,4.46376947207239e-56,"x1","adapt"
"25%272",2.75510204081633,1.07652021908658e-76,1.31698346305424e-75,"x1","adapt"
"25%282",2.85714285714286,2.66008519900625e-100,3.43646811982309e-99,"x1","adapt"
"25%292",2.95918367346939,9.4006201342278e-128,1.40501703493818e-126,"x1","adapt"
"25%302",3.06122448979592,1.60073278325488e-159,2.16296652770291e-158,"x1","adapt"
"25%313",3.16326530612245,3.21521682578117e-197,0,"x1","adapt"
"25%322",3.26530612244898,8.0384583036746e-244,0,"x1","adapt"
"25%332",3.36734693877551,3.20378110263684e-303,0,"x1","adapt"
"25%342",3.46938775510204,0,0,"x1","adapt"
"25%352",3.57142857142857,0,0,"x1","adapt"
"25%362",3.6734693877551,0,0,"x1","adapt"
"25%372",3.77551020408163,0,0,"x1","adapt"
"25%382",3.87755102040816,0,0,"x1","adapt"
"25%392",3.97959183673469,4.57865246140916e-285,0,"x1","adapt"
"25%402",4.08163265306122,7.6710487763926e-242,0,"x1","adapt"
"25%413",4.18367346938776,1.08822148857669e-209,0,"x1","adapt"
"25%422",4.28571428571429,6.23232052732195e-185,0,"x1","adapt"
"25%432",4.38775510204082,2.32163180234677e-165,0,"x1","adapt"
"25%442",4.48979591836735,9.44261757550617e-150,7.75617249956471e-149,"x1","adapt"
"25%452",4.59183673469388,6.70474333026798e-137,5.15348517965704e-136,"x1","adapt"
"25%462",4.69387755102041,4.50169333404662e-126,2.99512669426468e-125,"x1","adapt"
"25%472",4.79591836734694,6.20149374984132e-117,3.80922835042831e-116,"x1","adapt"
"25%482",4.89795918367347,5.73292534150214e-109,3.97813307330265e-108,"x1","adapt"
"25%492",5,2.22260380037427e-101,1.49565602202283e-100,"x1","adapt"
"25%501",0,0,0,"x2","adapt"
"25%1101",0.102040816326531,0,0,"x2","adapt"
"25%2101",0.204081632653061,0,0,"x2","adapt"
"25%3101",0.306122448979592,0,0,"x2","adapt"
"25%4101",0.408163265306122,1.39738101944384e-219,0,"x2","adapt"
"25%511",0.510204081632653,6.54278131225056e-166,0,"x2","adapt"
"25%611",0.612244897959184,9.04065133752546e-124,2.76067919238991e-122,"x2","adapt"
"25%711",0.714285714285714,5.03090681193628e-81,1.39662245754359e-79,"x2","adapt"
"25%811",0.816326530612245,2.02042722134125e-56,5.96816702343138e-55,"x2","adapt"
"25%911",0.918367346938776,1.70619617212598e-47,4.77375776472312e-46,"x2","adapt"
"25%1011",1.02040816326531,2.43820681168278e-31,5.20058950369174e-30,"x2","adapt"
"25%1111",1.12244897959184,0.314181026238824,0.461820917263306,"x2","adapt"
"25%1211",1.22448979591837,0.410729226501333,0.491031494097437,"x2","adapt"
"25%1311",1.3265306122449,0.46585972224225,0.49848281988765,"x2","adapt"
"25%1411",1.42857142857143,0.4595481951088,0.498234525439689,"x2","adapt"
"25%1511",1.53061224489796,0.311513507367248,0.463058879577958,"x2","adapt"
"25%1611",1.63265306122449,0.255943375305297,0.434785192168827,"x2","adapt"
"25%1711",1.73469387755102,0.206633825634225,0.396344971846548,"x2","adapt"
"25%1811",1.83673469387755,0.170706497805676,0.3627600648159,"x2","adapt"
"25%1911",1.93877551020408,0.167489896932479,0.351440363596394,"x2","adapt"
"25%2011",2.04081632653061,0.163172942952784,0.338155641355621,"x2","adapt"
"25%2111",2.14285714285714,0.124938974244674,0.292106318625728,"x2","adapt"
"25%2211",2.24489795918367,0.0510300915856535,0.177139390281861,"x2","adapt"
"25%2311",2.3469387755102,2.17187045850664e-11,1.37754340451765e-10,"x2","adapt"
"25%2411",2.44897959183673,2.35603223530026e-37,1.68365668523826e-36,"x2","adapt"
"25%2511",2.55102040816327,6.7610283351461e-54,4.13501375428599e-53,"x2","adapt"
"25%2611",2.6530612244898,1.45161730047289e-29,7.45254084782023e-29,"x2","adapt"
"25%2711",2.75510204081633,2.33196773634853e-15,8.04249354605278e-15,"x2","adapt"
"25%2811",2.85714285714286,5.78669609728218e-09,1.49088645481542e-08,"x2","adapt"
"25%2911",2.95918367346939,8.73418453493834e-06,1.78820821840728e-05,"x2","adapt"
"25%3011",3.06122448979592,0.000458542419767229,0.000763713144081982,"x2","adapt"
"25%3111",3.16326530612245,0.00414470559405456,0.00643708990682288,"x2","adapt"
"25%3211",3.26530612244898,0.0166063356628216,0.0245959346577123,"x2","adapt"
"25%3311",3.36734693877551,0.0392800033271322,0.0646964472891303,"x2","adapt"
"25%3411",3.46938775510204,0.119754603173851,0.189337401944986,"x2","adapt"
"25%3511",3.57142857142857,0.262668348960855,0.380931597029492,"x2","adapt"
"25%3611",3.6734693877551,0.359229203795788,0.4616314675487,"x2","adapt"
"25%3711",3.77551020408163,0.419455797427198,0.487325499736351,"x2","adapt"
"25%3811",3.87755102040816,0.459651217172774,0.495880188194011,"x2","adapt"
"25%3911",3.97959183673469,0.470355664545823,0.497607985712625,"x2","adapt"
"25%4011",4.08163265306122,0.467467195838217,0.4976653588459,"x2","adapt"
"25%4111",4.18367346938776,0.442060357521009,0.495397652522358,"x2","adapt"
"25%4211",4.28571428571429,0.42326369761405,0.48929885659508,"x2","adapt"
"25%4311",4.38775510204082,0.350673748070496,0.471643568811886,"x2","adapt"
"25%4411",4.48979591836735,0.185413426950164,0.375602792542108,"x2","adapt"
"25%4511",4.59183673469388,4.51790958531624e-75,3.95118213114663e-74,"x2","adapt"
"25%4611",4.69387755102041,2.30268839856189e-259,0,"x2","adapt"
"25%4711",4.79591836734694,0,0,"x2","adapt"
"25%4811",4.89795918367347,0,0,"x2","adapt"
"25%4911",5,0,0,"x2","adapt"
"25%54",0,0.15716144097062,0.336215129471537,"x1","rando"
"25%114",0.102040816326531,0.254761389237207,0.424709287349923,"x1","rando"
"25%214",0.204081632653061,0.299661238407515,0.453276064416319,"x1","rando"
"25%314",0.306122448979592,0.30204957045238,0.454966358644955,"x1","rando"
"25%414",0.408163265306122,0.339051205990671,0.468944890587778,"x1","rando"
"25%55",0.510204081632653,0.367465772559832,0.477075895036097,"x1","rando"
"25%63",0.612244897959184,0.380673026548569,0.481193636170223,"x1","rando"
"25%73",0.714285714285714,0.394249161193098,0.482767868989432,"x1","rando"
"25%83",0.816326530612245,0.419621294053518,0.487041385245263,"x1","rando"
