"","group","probs","E01","E02","type","str"
"253","SO3-",0.781377298343353,0.184,0.265,"Withdrawing",-8
"254","SO3-",0.773136113320843,0.256,0.353,"Withdrawing",-8
"255","SO3-",0.744601797862607,0.084,0.348,"Withdrawing",-8
"256","SO3-",0.742083591375442,0.307,0.27,"Withdrawing",-8
"257","SO3-",0.773136113320843,0.256,0.353,"Withdrawing",-8
"258","SO3-",0.744601797862607,0.084,0.348,"Withdrawing",-8
"259","SO3-",0.701866862725962,0.302,0.269,"Withdrawing",-8
"260","SO3-",0.744601797862607,0.084,0.348,"Withdrawing",-8
"261","NO2",0.0219846632681272,0.613,0.688,"Withdrawing",-12
"262","NO2",0.274120508369637,0.983,1.378,"Withdrawing",-12
"263","NO2",0.0818038491952031,0.981,0.975,"Withdrawing",-12
"264","NO2",0.195547856919733,0.944,1.081,"Withdrawing",-12
"265","NO2",0.294408948280578,1.261,1.51,"Withdrawing",-12
"266","NO2",0.312909183555965,1.613,1.662,"Withdrawing",-12
"267","NO2",0.274120508369637,0.983,1.378,"Withdrawing",-12
"268","NO2",0.294408948280578,1.261,1.51,"Withdrawing",-12
"269","NO2",0.312909183555965,1.613,1.662,"Withdrawing",-12
"270","NO2",0.0818038491952031,0.981,0.975,"Withdrawing",-12
"271","NO2",0.294408948280578,1.261,1.51,"Withdrawing",-12
"272","NO2",0.312909183555965,1.613,1.662,"Withdrawing",-12
"273","NO2",0.195547856919733,0.944,1.081,"Withdrawing",-12
"274","NO2",0.312909183555965,1.613,1.662,"Withdrawing",-12
"275","COCH3",0.74677159068765,0.276,0.299,"Withdrawing",-3
"276","COCH3",0.562985367679561,0.421,0.433,"Withdrawing",-3
"277","COCH3",0.748781431760337,0.463,0.363,"Withdrawing",-3
"278","COCH3",0.691958442117646,0.375,0.513,"Withdrawing",-3
"279","COCH3",0.746066469296493,0.557,0.518,"Withdrawing",-3
"280","COCH3",0.0507462242374487,0.663,0.657,"Withdrawing",-3
"281","COCH3",0.562985367679561,0.421,0.433,"Withdrawing",-3
"282","COCH3",0.746066469296493,0.557,0.518,"Withdrawing",-3
"283","COCH3",0.0507462242374487,0.663,0.657,"Withdrawing",-3
"284","COCH3",0.748781431760337,0.463,0.363,"Withdrawing",-3
"285","COCH3",0.746066469296493,0.557,0.518,"Withdrawing",-3
"286","COCH3",0.0507462242374487,0.663,0.657,"Withdrawing",-3
"287","COCH3",0.691958442117646,0.375,0.513,"Withdrawing",-3
"288","COCH3",0.0507462242374487,0.663,0.657,"Withdrawing",-3
